height,sex,shoe_size
160,F,40.0
171,F,39.0
174,F,39.0
176,F,40.0
195,M,46.0
157,F,37.0
160,F,38.0
178,F,39.0
168,F,38.0
171,M,41.0
165,F,39.0
175,M,44.0
163,F,38.0
158,F,37.0
159,F,38.0
183,M,44.0
155,F,37.0
172,F,39.0
164,F,39.0
158,F,35.0
174,F,37.0
164,F,37.0
168,F,38.0
168,F,38.0
163,F,37.0
160,F,37.0
183,M,46.0
161,F,38.0
162,F,36.0
165,F,37.0
164,F,36.0
161,F,37.0
163,F,39.0
169,F,40.0
171,F,39.0
163,F,38.0
159,F,36.0
180,F,42.0
168,F,38.0
170,F,38.0
168,F,38.0
180,M,42.0
183,M,44.0
170,F,40.0
172,F,39.0
163,F,38.0
168,F,38.0
1,F,41.0
169,F,38.0
206,M,50.0
165,F,38.0
171,F,40.0
165,F,37.0
168,F,38.0
180,M,44.0
160,F,40.0
183,M,44.0
160,F,36.5
171,F,40.0
167,F,39.0
172,F,37.0
1,F,38.0
173,F,38.0
187,M,44.0
176,F,40.0
180,M,42.0
171,F,39.0
364,F,88.0
168,F,36.0
175,F,39.0
185,M,42.0
205,M,48.0
165,F,36.0
175,M,42.0
175,M,42.0
172,M,41.0
156,F,36.0
1,F,38.0
163,F,37.0
163,F,38.0
1,F,38.0
169,F,39.0
178,F,39.0
170,F,38.0
168,F,38.0
170,F,39.0
173,F,40.0
171,F,40.0
163,F,38.0
166,F,38.0
159,F,38.0
178,F,41.0
178,M,44.0
169,F,40.0
158,F,37.0
170,F,39.0
183,F,39.0
173,F,40.0
160,F,37.0
168,F,39.0
157,F,35
163,M,40
179,M,43
173,M,42
174,M,43
175,F,42
175,F,37
168,F,39
180,F,43
183,F,43
175,M  ,44
177,M,43
162,F,38
162,F,37
182,M,47
149,F,35
182,M,46
175,M,46
165,F,40
167,F,39
160,F,37
147,F,36
167,M,41
175,M,41
182,M,44
180,M,43
185,M,46
188,M,46
190,M  ,46
175,M,44
